text,sentiment,timestamp,user,platform,hashtags,retweets,likes,country,year,month,day,hour,tokens,token_count
"new year, new fitness goals! 💪",Positive,2023-01-18 18:00:00,FitJourney,Instagram, #NewYear #FitnessGoals                  ,28.0,55.0,USA,2023,1,18,18,"['new', 'year', 'new', 'fitness', 'goals']",5
technology is changing the way we live.,Neutral,2023-01-19 09:45:00,TechEnthusiast,Twitter, #Tech #Innovation                       ,15.0,30.0,India,2023,1,19,9,"['technology', 'is', 'changing', 'the', 'way', 'we', 'live']",7
reflecting on the past and looking ahead.,Positive,2023-01-19 13:20:00,Reflections,Facebook, #Reflection #Future                     ,20.0,40.0,USA,2023,1,19,13,"['reflecting', 'on', 'the', 'past', 'and', 'looking', 'ahead']",7
just adopted a cute furry friend! 🐾,Positive,2023-01-19 17:10:00,PetAdopter,Instagram, #PetAdoption #FurryFriend               ,15.0,30.0,Canada,2023,1,19,17,"['just', 'adopted', 'a', 'cute', 'furry', 'friend']",6
late-night gaming session with friends.,Positive,2023-01-20 00:05:00,GamerX,Twitter, #Gaming #LateNight                      ,18.0,35.0,UK,2023,1,20,0,"['latenight', 'gaming', 'session', 'with', 'friends']",5
attending a virtual conference on ai.,Neutral,2023-01-20 11:30:00,TechConference,Facebook, #AI #TechConference                     ,25.0,50.0,USA,2023,1,20,11,"['attending', 'a', 'virtual', 'conference', 'on', 'ai']",6
winter blues got me feeling low.,Negative,2023-01-20 15:15:00,WinterBlues,Instagram, #WinterBlues #Mood                      ,8.0,15.0,USA,2023,1,20,15,"['winter', 'blues', 'got', 'me', 'feeling', 'low']",6
sipping coffee and enjoying a good book.,Positive,2023-01-21 08:40:00,Bookworm,Twitter, #Reading #CoffeeTime                    ,22.0,45.0,India,2023,1,21,8,"['sipping', 'coffee', 'and', 'enjoying', 'a', 'good', 'book']",7
exploring the world of virtual reality.,Positive,2023-01-21 13:20:00,VRExplorer,Facebook, #VR #VirtualReality                     ,15.0,30.0,USA,2023,1,21,13,"['exploring', 'the', 'world', 'of', 'virtual', 'reality']",6
productive day ticking off my to-do list.,Positive,2023-01-21 16:45:00,ProductivityPro,Instagram, #Productivity #WorkFromHome           ,30.0,60.0,USA,2023,1,21,16,"['productive', 'day', 'ticking', 'off', 'my', 'todo', 'list']",7
just finished a challenging workout routine.,Positive,2023-01-22 09:15:00,FitnessWarrior,Twitter, #Fitness #ChallengeAccepted             ,20.0,40.0,UK,2023,1,22,9,"['just', 'finished', 'a', 'challenging', 'workout', 'routine']",6
celebrating a milestone at work! 🎉,Positive,2023-01-22 14:30:00,CareerMilestone,Facebook, #Career #Milestone                      ,12.0,25.0,Canada,2023,1,22,14,"['celebrating', 'a', 'milestone', 'at', 'work']",5
sunday brunch with friends.,Positive,2023-01-22 12:00:00,BrunchBuddy,Instagram, #Brunch #Friends                       ,15.0,30.0,UK,2023,1,22,12,"['sunday', 'brunch', 'with', 'friends']",4
learning a new language for personal growth.,Positive,2023-01-23 16:20:00,LanguageLearner,Facebook, #LanguageLearning #PersonalGrowth       ,25.0,50.0,India,2023,1,23,16,"['learning', 'a', 'new', 'language', 'for', 'personal', 'growth']",7
quiet evening with a good book.,Positive,2023-01-23 19:45:00,BookLover,Instagram, #Reading #QuietTime                     ,15.0,30.0,Australia,2023,1,23,19,"['quiet', 'evening', 'with', 'a', 'good', 'book']",6
reflecting on the importance of mental health.,Positive,2023-01-24 11:30:00,MentalHealthMatters,Twitter, #MentalHealth #SelfCare                 ,22.0,45.0,USA,2023,1,24,11,"['reflecting', 'on', 'the', 'importance', 'of', 'mental', 'health']",7
new painting in progress! 🎨,Positive,2023-01-24 15:00:00,ArtistInAction,Facebook, #Art #PaintingInProgress             ,12.0,25.0,Canada,2023,1,24,15,"['new', 'painting', 'in', 'progress']",4
weekend road trip to explore scenic views.,Positive,2023-01-24 17:30:00,RoadTripper,Instagram, #RoadTrip #ScenicViews                  ,18.0,35.0,UK,2023,1,24,17,"['weekend', 'road', 'trip', 'to', 'explore', 'scenic', 'views']",7
enjoying a cup of tea and watching the sunset.,Positive,2023-01-25 18:00:00,SunsetWatcher,Twitter, #TeaTime #Sunset                       ,15.0,30.0,India,2023,1,25,18,"['enjoying', 'a', 'cup', 'of', 'tea', 'and', 'watching', 'the', 'sunset']",9
coding a new project with enthusiasm.,Positive,2023-01-25 13:15:00,CodeEnthusiast,Facebook, #Coding #Enthusiasm                   ,30.0,60.0,USA,2023,1,25,13,"['coding', 'a', 'new', 'project', 'with', 'enthusiasm']",6
feeling inspired after attending a workshop.,Positive,2023-01-26 09:45:00,WorkshopAttendee,Instagram, #Inspiration #Workshop                  ,25.0,50.0,USA,2023,1,26,9,"['feeling', 'inspired', 'after', 'attending', 'a', 'workshop']",6
winter sports day at the local park.,Positive,2023-01-26 14:20:00,WinterSports,Twitter, #WinterSports #Fun                     ,15.0,30.0,Canada,2023,1,26,14,"['winter', 'sports', 'day', 'at', 'the', 'local', 'park']",7
quality time with family this weekend.,Positive,2023-01-26 17:40:00,FamilyTime,Facebook, #FamilyTime #Weekend                    ,22.0,45.0,UK,2023,1,26,17,"['quality', 'time', 'with', 'family', 'this', 'weekend']",6
attending a live music concert tonight.,Positive,2023-01-27 20:00:00,MusicLover,Instagram, #Music #ConcertNight                  ,18.0,35.0,USA,2023,1,27,20,"['attending', 'a', 'live', 'music', 'concert', 'tonight']",6
practicing mindfulness with meditation.,Positive,2023-01-27 12:30:00,MindfulMoments,Twitter, #Mindfulness #Meditation               ,15.0,30.0,India,2023,1,27,12,"['practicing', 'mindfulness', 'with', 'meditation']",4
trying out a new dessert recipe.,Positive,2023-01-27 16:10:00,DessertExplorer,Facebook, #Dessert #Cooking                      ,12.0,25.0,Canada,2023,1,27,16,"['trying', 'out', 'a', 'new', 'dessert', 'recipe']",6
excited about the upcoming gaming tournament.,Positive,2023-01-28 09:00:00,GamingEnthusiast,Instagram, #Gaming #Tournament                     ,30.0,60.0,USA,2023,1,28,9,"['excited', 'about', 'the', 'upcoming', 'gaming', 'tournament']",6
planning a garden makeover for spring.,Positive,2023-01-28 14:45:00,GardenPlanner,Twitter, #Gardening #Spring                     ,25.0,50.0,USA,2023,1,28,14,"['planning', 'a', 'garden', 'makeover', 'for', 'spring']",6
celebrating a friend's birthday tonight! 🎂,Positive,2023-01-28 19:30:00,BirthdayBash,Facebook, #Birthday #Celebration                  ,15.0,30.0,UK,2023,1,28,19,"['celebrating', 'a', 'friends', 'birthday', 'tonight']",5
feeling accomplished after a productive day.,Positive,2023-01-29 17:00:00,ProductivityWin,Instagram, #Accomplished #Success               ,22.0,45.0,India,2023,1,29,17,"['feeling', 'accomplished', 'after', 'a', 'productive', 'day']",6
a cozy evening with a good movie.,Positive,2023-01-29 20:20:00,MovieNight,Twitter, #CozyNight #MovieTime                   ,18.0,35.0,Canada,2023,1,29,20,"['a', 'cozy', 'evening', 'with', 'a', 'good', 'movie']",7
exploring local art galleries this weekend.,Positive,2023-01-30 11:30:00,ArtExplorer,Facebook, #Art #GalleryExplore                    ,15.0,30.0,USA,2023,1,30,11,"['exploring', 'local', 'art', 'galleries', 'this', 'weekend']",6
new book release from my favorite author!,Positive,2023-01-30 15:45:00,BookwormX,Instagram, #BookRelease #FavoriteAuthor           ,12.0,25.0,UK,2023,1,30,15,"['new', 'book', 'release', 'from', 'my', 'favorite', 'author']",7
attending a virtual reality meetup.,Positive,2023-01-30 18:30:00,VRMeetup,Twitter, #VRMeetup #VirtualReality               ,28.0,55.0,India,2023,1,30,18,"['attending', 'a', 'virtual', 'reality', 'meetup']",5
reflecting on the beauty of nature.,Positive,2023-01-31 10:45:00,NatureLover,Facebook, #Nature #Reflection                     ,15.0,30.0,Australia,2023,1,31,10,"['reflecting', 'on', 'the', 'beauty', 'of', 'nature']",6
cooking a special dinner for loved ones.,Positive,2023-01-31 19:00:00,ChefAtHome,Instagram, #Cooking #SpecialDinner                ,20.0,40.0,USA,2023,1,31,19,"['cooking', 'a', 'special', 'dinner', 'for', 'loved', 'ones']",7
feeling optimistic about the week ahead.,Positive,2023-01-31 16:20:00,OptimisticMindset,Twitter, #Optimism #NewWeek                     ,15.0,30.0,Canada,2023,1,31,16,"['feeling', 'optimistic', 'about', 'the', 'week', 'ahead']",6
starting a new fitness challenge tomorrow! 💪,Positive,2023-02-01 08:00:00,FitnessChallenge,Facebook, #FitnessChallenge #NewBeginnings       ,22.0,45.0,UK,2023,2,1,8,"['starting', 'a', 'new', 'fitness', 'challenge', 'tomorrow']",6
sunday bike ride through scenic trails.,Positive,2023-02-01 13:30:00,BikeExplorer,Instagram, #BikeRide #ScenicTrails                ,18.0,35.0,USA,2023,2,1,13,"['sunday', 'bike', 'ride', 'through', 'scenic', 'trails']",6
can't believe the injustice happening in our society.,Anger,2023-02-11 09:30:00,SocialJustice,Twitter, #Injustice #Angry                            ,20.0,40.0,Canada,2023,2,11,9,"['cant', 'believe', 'the', 'injustice', 'happening', 'in', 'our', 'society']",8
feeling a sense of fear after watching a thriller movie.,Fear,2023-02-11 21:15:00,ThrillerFan,Instagram, #Fear #ThrillerMovie                         ,15.0,30.0,USA,2023,2,11,21,"['feeling', 'a', 'sense', 'of', 'fear', 'after', 'watching', 'a', 'thriller', 'movie']",10
heartbroken after hearing the news about a natural disaster.,Sadness,2023-02-12 14:45:00,EmpathyFirst,Facebook, #Sadness #NaturalDisaster                    ,25.0,50.0,India,2023,2,12,14,"['heartbroken', 'after', 'hearing', 'the', 'news', 'about', 'a', 'natural', 'disaster']",9
the state of the world's environment is just disgusting.,Disgust,2023-02-12 18:20:00,EcoAwareness,Twitter, #Disgust #Environment                        ,18.0,35.0,UK,2023,2,12,18,"['the', 'state', 'of', 'the', 'worlds', 'environment', 'is', 'just', 'disgusting']",9
pure happiness: celebrating a loved one's achievement!,Happiness,2023-02-13 10:00:00,ProudFriend,Instagram, #Happiness #Celebration                   ,30.0,60.0,USA,2023,2,13,10,"['pure', 'happiness', 'celebrating', 'a', 'loved', 'ones', 'achievement']",7
laughter is the best medicine—enjoying a comedy show.,Joy,2023-02-13 19:30:00,ComedyFan,Facebook, #Joy #ComedyShow                             ,22.0,45.0,Canada,2023,2,13,19,"['laughter', 'is', 'the', 'best', 'medicineenjoying', 'a', 'comedy', 'show']",8
sharing love and positive vibes with everyone! ❤️,Love,2023-02-14 08:30:00,LoveSpreader,Twitter, #Love #SpreadLove                            ,15.0,30.0,Australia,2023,2,14,8,"['sharing', 'love', 'and', 'positive', 'vibes', 'with', 'everyone']",7
an amusing incident brightened up my day!,Amusement,2023-02-14 14:20:00,AmusedSoul,Instagram, #Amusement #FunTimes                         ,18.0,35.0,UK,2023,2,14,14,"['an', 'amusing', 'incident', 'brightened', 'up', 'my', 'day']",7
enjoying a quiet evening with a book and some tea.,Enjoyment,2023-02-14 19:45:00,BookLoverAgain,Facebook, #Enjoyment #BookTime                         ,25.0,50.0,Canada,2023,2,14,19,"['enjoying', 'a', 'quiet', 'evening', 'with', 'a', 'book', 'and', 'some', 'tea']",10
admiring the beauty of nature during a peaceful hike.,Admiration,2023-02-15 11:30:00,NatureAdmirer,Twitter, #Admiration #Nature                         ,20.0,40.0,USA,2023,2,15,11,"['admiring', 'the', 'beauty', 'of', 'nature', 'during', 'a', 'peaceful', 'hike']",9
sending affectionate vibes to all my followers!,Affection,2023-02-15 16:00:00,AffectionSender,Instagram, #Affection #PositiveVibes                   ,15.0,30.0,USA,2023,2,15,16,"['sending', 'affectionate', 'vibes', 'to', 'all', 'my', 'followers']",7
experiencing awe at the breathtaking sunset.,Awe,2023-02-15 20:30:00,AweStruck,Facebook, #Awe #Breathtaking                          ,22.0,45.0,Australia,2023,2,15,20,"['experiencing', 'awe', 'at', 'the', 'breathtaking', 'sunset']",6
disappointed with the service at a local restaurant.,Disappointed,2023-02-16 09:00:00,FoodieGoneWrong,Twitter, #Disappointed #BadService                   ,18.0,35.0,India,2023,2,16,9,"['disappointed', 'with', 'the', 'service', 'at', 'a', 'local', 'restaurant']",8
a surprise gift from a friend made my day!,Surprise,2023-02-16 14:45:00,HappySurprise,Instagram, #Surprise #Gift                              ,25.0,50.0,USA,2023,2,16,14,"['a', 'surprise', 'gift', 'from', 'a', 'friend', 'made', 'my', 'day']",9
finding acceptance in the midst of life's challenges.,Acceptance,2023-02-16 18:20:00,AcceptanceSeeker,Facebook, #Acceptance #Challenges                     ,15.0,30.0,Canada,2023,2,16,18,"['finding', 'acceptance', 'in', 'the', 'midst', 'of', 'lifes', 'challenges']",8
overflowing with adoration for my adorable pet! 🐾,Adoration,2023-02-17 10:45:00,PetAdorer,Twitter, #Adoration #PetLove                         ,22.0,45.0,UK,2023,2,17,10,"['overflowing', 'with', 'adoration', 'for', 'my', 'adorable', 'pet']",7
anticipating a thrilling adventure in the coming weeks.,Anticipation,2023-02-17 07:30:00,AdventureAwaits,Instagram, #Anticipation #Adventure                    ,20.0,40.0,USA,2023,2,17,7,"['anticipating', 'a', 'thrilling', 'adventure', 'in', 'the', 'coming', 'weeks']",8
a bitter experience turned into a valuable lesson.,Bitter,2023-02-17 15:00:00,LearnFromBitter,Facebook, #BitterLesson #Growth                      ,18.0,35.0,USA,2023,2,17,15,"['a', 'bitter', 'experience', 'turned', 'into', 'a', 'valuable', 'lesson']",8
finding calmness in the midst of a busy day.,Calmness,2023-02-18 09:30:00,ZenMaster,Twitter, #Calmness #PeacefulMind                    ,15.0,30.0,India,2023,2,18,9,"['finding', 'calmness', 'in', 'the', 'midst', 'of', 'a', 'busy', 'day']",9
confusion clouds my mind as i navigate through decisions.,Confusion,2023-02-18 14:20:00,ConfusedMind,Instagram, #Confusion #DecisionMaking                 ,25.0,50.0,UK,2023,2,18,14,"['confusion', 'clouds', 'my', 'mind', 'as', 'i', 'navigate', 'through', 'decisions']",9
excitement building up for the upcoming vacation!,Excitement,2023-02-18 18:45:00,VacationDreamer,Facebook, #Excitement #TravelPlans                   ,22.0,45.0,Canada,2023,2,18,18,"['excitement', 'building', 'up', 'for', 'the', 'upcoming', 'vacation']",7
kindness witnessed today restored my faith in humanity.,Kind,2023-02-19 11:30:00,KindnessPrevails,Twitter, #Kindness #Humanity                        ,20.0,40.0,USA,2023,2,19,11,"['kindness', 'witnessed', 'today', 'restored', 'my', 'faith', 'in', 'humanity']",8
pride in achieving a personal milestone.,Pride,2023-02-19 16:00:00,PersonalAchiever,Instagram, #Pride #Milestone                           ,30.0,60.0,Australia,2023,2,19,16,"['pride', 'in', 'achieving', 'a', 'personal', 'milestone']",6
a moment of shame for not standing up against injustice.,Shame,2023-02-19 19:45:00,ReflectiveSelf,Facebook, #Shame #Injustice                           ,15.0,30.0,India,2023,2,19,19,"['a', 'moment', 'of', 'shame', 'for', 'not', 'standing', 'up', 'against', 'injustice']",10
fuming with anger after a heated argument.,Anger,2023-02-20 09:30:00,AngryDebater,Twitter, #Anger #Argument                             ,20.0,40.0,Canada,2023,2,20,9,"['fuming', 'with', 'anger', 'after', 'a', 'heated', 'argument']",7
the fear of the unknown is keeping me up at night.,Fear,2023-02-20 21:15:00,FearfulDreamer,Instagram, #Fear #Unknown                               ,15.0,30.0,USA,2023,2,20,21,"['the', 'fear', 'of', 'the', 'unknown', 'is', 'keeping', 'me', 'up', 'at', 'night']",11
heartfelt sadness after bidding farewell to a dear friend.,Sadness,2023-02-21 14:45:00,FarewellHeart,Facebook, #Sadness #Farewell                          ,25.0,50.0,India,2023,2,21,14,"['heartfelt', 'sadness', 'after', 'bidding', 'farewell', 'to', 'a', 'dear', 'friend']",9
the state of corruption in our society is utterly disgusting.,Disgust,2023-02-21 18:20:00,AntiCorruption,Twitter, #Disgust #Corruption                         ,18.0,35.0,UK,2023,2,21,18,"['the', 'state', 'of', 'corruption', 'in', 'our', 'society', 'is', 'utterly', 'disgusting']",10
overflowing happiness: welcoming a new family member!,Happiness,2023-02-22 10:00:00,NewParentJoy,Instagram, #Happiness #NewFamilyMember                 ,30.0,60.0,UK,2023,2,22,10,"['overflowing', 'happiness', 'welcoming', 'a', 'new', 'family', 'member']",7
laughter is the key to joy—attending a stand-up comedy show.,Joy,2023-02-22 19:30:00,StandUpFan,Facebook, #Joy #StandUpComedy                         ,22.0,45.0,Canada,2023,2,22,19,"['laughter', 'is', 'the', 'key', 'to', 'joyattending', 'a', 'standup', 'comedy', 'show']",10
sending love to all my followers on this beautiful day! ❤️,Love,2023-02-23 08:30:00,LoveSender,Twitter, #Love #SpreadLove                            ,15.0,30.0,Australia,2023,2,23,8,"['sending', 'love', 'to', 'all', 'my', 'followers', 'on', 'this', 'beautiful', 'day']",10
amused by the antics of my pet—it's pure amusement!,Amusement,2023-02-23 14:20:00,PetAmuser,Instagram, #Amusement #PetAntics                       ,18.0,35.0,UK,2023,2,23,14,"['amused', 'by', 'the', 'antics', 'of', 'my', 'petits', 'pure', 'amusement']",9
enjoying every moment of this trip—pure enjoyment!,Enjoyment,2023-02-23 19:45:00,TravelExplorer,Facebook, #Enjoyment #Travel                           ,25.0,50.0,USA,2023,2,23,19,"['enjoying', 'every', 'moment', 'of', 'this', 'trippure', 'enjoyment']",7
admiring the dedication of volunteers at a local charity.,Admiration,2023-02-24 11:30:00,CharityAdmirer,Twitter, #Admiration #Volunteers                     ,20.0,40.0,USA,2023,2,24,11,"['admiring', 'the', 'dedication', 'of', 'volunteers', 'at', 'a', 'local', 'charity']",9
sending affectionate vibes to friends and family.,Affection,2023-02-24 16:00:00,FamilyLover,Instagram, #Affection #FamilyLove                      ,15.0,30.0,USA,2023,2,24,16,"['sending', 'affectionate', 'vibes', 'to', 'friends', 'and', 'family']",7
awe-struck by the beauty of the night sky.,Awe,2023-02-24 20:30:00,Stargazer,Facebook, #Awe #StarryNight                        ,22.0,45.0,Australia,2023,2,24,20,"['awestruck', 'by', 'the', 'beauty', 'of', 'the', 'night', 'sky']",8
disappointed with the lack of progress in a personal project.,Disappointed,2023-02-25 09:00:00,ProjectStruggle,Twitter, #Disappointed #Project                     ,18.0,35.0,India,2023,2,25,9,"['disappointed', 'with', 'the', 'lack', 'of', 'progress', 'in', 'a', 'personal', 'project']",10
a surprise visit from an old friend brought tears of joy.,Surprise,2023-02-25 14:45:00,JoyfulReunion,Instagram, #Surprise #OldFriends                       ,25.0,50.0,USA,2023,2,25,14,"['a', 'surprise', 'visit', 'from', 'an', 'old', 'friend', 'brought', 'tears', 'of', 'joy']",11
embracing acceptance of life's ups and downs.,Acceptance,2023-02-25 18:20:00,LifeAcceptance,Facebook, #Acceptance #LifeJourney                   ,15.0,30.0,Canada,2023,2,25,18,"['embracing', 'acceptance', 'of', 'lifes', 'ups', 'and', 'downs']",7
overflowing adoration for a cute rescue puppy! 🐶,Adoration,2023-02-26 10:45:00,PuppyAdmirer,Twitter, #Adoration #PuppyLove                       ,22.0,45.0,UK,2023,2,26,10,"['overflowing', 'adoration', 'for', 'a', 'cute', 'rescue', 'puppy']",7
anticipating the release of a much-awaited movie.,Anticipation,2023-02-26 07:30:00,MovieBuff2,Instagram, #Anticipation #MovieRelease                 ,20.0,40.0,Australia,2023,2,26,7,"['anticipating', 'the', 'release', 'of', 'a', 'muchawaited', 'movie']",7
bitter experience at the customer service department.,Bitter,2023-02-26 15:00:00,CustomerWoes,Facebook, #BitterExperience #CustomerService         ,18.0,35.0,USA,2023,2,26,15,"['bitter', 'experience', 'at', 'the', 'customer', 'service', 'department']",7
finding calmness amidst the chaos of daily life.,Calmness,2023-02-27 09:30:00,CalmSoul,Twitter, #Calmness #InnerPeace                      ,15.0,30.0,India,2023,2,27,9,"['finding', 'calmness', 'amidst', 'the', 'chaos', 'of', 'daily', 'life']",8
confusion reigns as i try to make sense of recent events.,Confusion,2023-02-27 14:20:00,ConfusedMind2,Instagram, #Confusion #MakingSense                    ,25.0,50.0,UK,2023,2,27,14,"['confusion', 'reigns', 'as', 'i', 'try', 'to', 'make', 'sense', 'of', 'recent', 'events']",11
excitement building up for a surprise birthday party.,Excitement,2023-02-27 18:45:00,BirthdayExcite,Facebook, #Excitement #SurpriseParty                 ,22.0,45.0,Canada,2023,2,27,18,"['excitement', 'building', 'up', 'for', 'a', 'surprise', 'birthday', 'party']",8
witnessed an act of kindness that made my day.,Kind,2023-02-28 11:30:00,KindnessObserver,Twitter, #Kindness #ActsOfKindness                  ,20.0,40.0,USA,2023,2,28,11,"['witnessed', 'an', 'act', 'of', 'kindness', 'that', 'made', 'my', 'day']",9
pride in completing a challenging fitness challenge.,Pride,2023-02-28 16:00:00,FitAchiever,Instagram, #Pride #FitnessChallengeCompleted          ,30.0,60.0,UK,2023,2,28,16,"['pride', 'in', 'completing', 'a', 'challenging', 'fitness', 'challenge']",7
a moment of shame for not speaking up against injustice.,Shame,2023-02-28 19:45:00,ReflectiveSelf2,Facebook, #Shame #Injustice                           ,15.0,30.0,India,2023,2,28,19,"['a', 'moment', 'of', 'shame', 'for', 'not', 'speaking', 'up', 'against', 'injustice']",10
reflecting on the beauty of diversity in our world.,Acceptance,2023-03-01 10:45:00,DiversityLover,Twitter, #Acceptance #Diversity                      ,22.0,45.0,Australia,2023,3,1,10,"['reflecting', 'on', 'the', 'beauty', 'of', 'diversity', 'in', 'our', 'world']",9
excitement for a quiet evening with a good book.,Excitement,2023-03-01 13:30:00,BookwormJoy,Instagram, #Excitement #BookTime                       ,18.0,35.0,USA,2023,3,1,13,"['excitement', 'for', 'a', 'quiet', 'evening', 'with', 'a', 'good', 'book']",9
feeling bitter about the unfairness in the workplace.,Bitter,2023-03-01 17:45:00,WorkplaceWoes,Twitter, #Bitter #Unfairness                         ,15.0,30.0,Canada,2023,3,1,17,"['feeling', 'bitter', 'about', 'the', 'unfairness', 'in', 'the', 'workplace']",8
calmness prevails as i practice mindfulness.,Calmness,2023-03-02 18:00:00,MindfulMe,Facebook, #Calmness #Mindfulness                      ,15.0,30.0,UK,2023,3,2,18,"['calmness', 'prevails', 'as', 'i', 'practice', 'mindfulness']",6
confusion surrounds me as i navigate through life's choices.,Confusion,2023-03-02 13:15:00,ConfusedMind3,Instagram, #Confusion #LifeChoices                     ,30.0,60.0,USA,2023,3,2,13,"['confusion', 'surrounds', 'me', 'as', 'i', 'navigate', 'through', 'lifes', 'choices']",9
excitement for a weekend road trip to explore new places.,Excitement,2023-03-02 16:45:00,RoadTripper2,Twitter, #Excitement #WeekendAdventure               ,25.0,50.0,India,2023,3,2,16,"['excitement', 'for', 'a', 'weekend', 'road', 'trip', 'to', 'explore', 'new', 'places']",10
kindness witnessed today restores my faith in humanity.,Kind,2023-03-03 11:30:00,KindnessPrevails2,Facebook, #Kindness #HumanityRestored                 ,22.0,45.0,USA,2023,3,3,11,"['kindness', 'witnessed', 'today', 'restores', 'my', 'faith', 'in', 'humanity']",8
pride in accomplishing personal and professional goals.,Pride,2023-03-03 14:30:00,GoalAchiever,Instagram, #Pride #Accomplishments                     ,12.0,25.0,Canada,2023,3,3,14,"['pride', 'in', 'accomplishing', 'personal', 'and', 'professional', 'goals']",7
shame for not being true to my values in a difficult situation.,Shame,2023-03-03 12:00:00,ReflectiveSelf3,Twitter, #Shame #Integrity                           ,15.0,30.0,UK,2023,3,3,12,"['shame', 'for', 'not', 'being', 'true', 'to', 'my', 'values', 'in', 'a', 'difficult', 'situation']",12
"revisiting old memories, feeling a sense of elation.",Elation,2010-05-15 15:30:00,NostalgiaFan,Twitter, #Elation #Memories                             ,20.0,40.0,Canada,2010,5,15,15,"['revisiting', 'old', 'memories', 'feeling', 'a', 'sense', 'of', 'elation']",8
the victory of our team brought euphoria to the city.,Euphoria,2021-08-10 21:15:00,SportsFanatic,Instagram, #Euphoria #Victory                             ,15.0,30.0,USA,2021,8,10,21,"['the', 'victory', 'of', 'our', 'team', 'brought', 'euphoria', 'to', 'the', 'city']",10
"embracing the beauty of nature, a moment of contentment.",Contentment,2011-06-20 14:45:00,NatureLover2,Facebook, #Contentment #Nature                           ,25.0,50.0,India,2011,6,20,14,"['embracing', 'the', 'beauty', 'of', 'nature', 'a', 'moment', 'of', 'contentment']",9
"meditating by the serene lake, finding inner peace.",Serenity,2022-02-12 18:20:00,ZenMaster2,Twitter, #Serenity #Meditation                          ,18.0,35.0,UK,2022,2,12,18,"['meditating', 'by', 'the', 'serene', 'lake', 'finding', 'inner', 'peace']",8
overflowing with gratitude for life's blessings.,Gratitude,2012-11-25 10:00:00,ThankfulHeart,Instagram, #Gratitude #Blessed                            ,30.0,60.0,Australia,2012,11,25,10,"['overflowing', 'with', 'gratitude', 'for', 'lifes', 'blessings']",6
"hopeful for a brighter tomorrow, despite challenges.",Hope,2013-04-05 19:30:00,OptimisticSoul,Facebook, #Hope #Optimism                                ,22.0,45.0,USA,2013,4,5,19,"['hopeful', 'for', 'a', 'brighter', 'tomorrow', 'despite', 'challenges']",7
